
//PoF Area Links Table
SRC_AREA  SRC_NWSE  TARGET_ARE  ENTRY_NAME  TRV_TIME  DEF_ENTRY  ENC1     ENC2     ENC3     ENC4     ENC5     ENC_PROB
XG0077    N         AR2000      EXITSW         5        2        N        N        N        N        N          0
XG0077    S         XG0076      EXITSE         4        1        N        N        N        N        N          0
XG0077    S         XG0078      EXITSE         4        1        N        N        N        N        N          0

XG0078    N         AR0020      EXITNE        28        2        XGRA08   N        N        N        N         70

XG0058    S         XG0025      EXITS          2        1        XGRA01   N        N        N        N        100

XG0079    W         AR2000      EXITNE         2        1        N        N        N        N        N          0

XG4001    N         XG0040      EXITS          2        1        N        N        N        N        N          0

XG0081    W         XG0020      EXITS         45        2        XGRA03   N        N        N        N         50
XG0081    S         AR0020      EXITNE        45        2        XGRA03   N        N        N        N         30
XG0081    E         XG0078      EXITS          2        1        N        N        N        N        N          0

XG0082    N         XG0083      EXITS          1        1        N        N        N        N        N          0

XG0083    S         XG0082      EXITN          1        1        N        N        N        N        N          0

XG0133    W         AR0020      EXITNE        55        1        N        N        N        N        N          0

XG8100    W         XG0020      EXITS         45        2        N        N        N        N        N          0
XG8100    S         AR2000      EXITNE        45        2        N        N        N        N        N          0
XG8100    E         XG0020      EXITS          2        1        N        N        N        N        N          0
 
XG8200    N         XG8300      EXITS          2        1        N        N        N        N        N          0
XG8200    W         XG8100      EXITE          2        1        N        N        N        N        N          0

XG8300    S         XG8200      EXITN          2        1        N        N        N        N        N          0

XG0681    N         XG0084      EXITS         25        1        N        N        N        N        N          0
XG0681    W         AR2000      EXITNE        55        1        N        N        N        N        N          0

XG8500    N         XG0084      EXITS         25        1        N        N        N        N        N          0
XG8500    W         AR2000      EXITNE        55        1        N        N        N        N        N          0

XG0084    S         XG0681      ENTRANCE###1  25        2        N        N        N        N        N          0
XG0084    S         XG8500      ENTRANCE###1  25        2        N        N        N        N        N          0

XG0A80    N         XG0026      EXITSW        15        2        N        N        N        N        N          0
XG0A80    N         XG0064      EXITSE        15        1        N        N        N        N        N          0
XG0A80    S         XG0020      EXITS         25        1        N        N        N        N        N          0
XG0A80    S         AR2000      EXITNE        55        1        N        N        N        N        N          0

XG0080    N         XG0026      EXITSW        15        2        N        N        N        N        N          0
XG0080    N         XG0064      EXITSE        15        1        N        N        N        N        N          0
XG0080    S         XG0020      EXITS         25        1        N        N        N        N        N          0
XG0080    S         AR2000      EXITNE        55        1        N        N        N        N        N          0

XG0780    W         XG0A80      EXITSE         1        1        N        N        N        N        N          0

XG0680    W         XG0A80      EXITSE         1        1        N        N        N        N        N          0
XG0680    E         XG0780      ENTRANCE###2   1        1        N        N        N        N        N          0
